parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Clostridium-hiranonis	0.013193	224990	0.012363
growth_rate	NA	Clostridium-difficile	0.65879	224990	0.15372
growth_rate	NA	Proteus-mirabilis	0.011247	224990	0.0097759
growth_rate	NA	Clostridium-scindens	0.031157	224990	0.026129
growth_rate	NA	Ruminococcus-obeum	0.062167	224990	0.031408
growth_rate	NA	Clostridium-ramosum	0.067317	224990	0.02293
growth_rate	NA	Bacteroides-ovatus	0.022848	224990	0.021286
growth_rate	NA	Akkermansia-muciniphila	0.026586	224990	0.024469
growth_rate	NA	Parabacteroides-distasonis	0.018328	224990	0.018013
growth_rate	NA	Bacteroides-fragilis	0.10754	224990	0.049691
growth_rate	NA	Bacteroides-vulgatus	0.017999	224990	0.016277
growth_rate	NA	Klebsiella-oxytoca	0.036318	224990	0.026558
growth_rate	NA	Roseburia-hominis	0.026048	224990	0.025902
growth_rate	NA	Escherichia-coli	0.1013	224990	0.032404
interaction	Clostridium-hiranonis	Clostridium-hiranonis	-0.00055539	224990	4.2521e-05
interaction	Clostridium-hiranonis	Clostridium-difficile	0.00012478	0.088692	0.0036104
interaction	Clostridium-hiranonis	Proteus-mirabilis	8.7713e-09	0.00026674	6.7002e-07
interaction	Clostridium-hiranonis	Clostridium-scindens	-2.1741e-10	8.8897e-05	1.3104e-07
interaction	Clostridium-hiranonis	Ruminococcus-obeum	5.5798e-07	0.0033892	1.8987e-05
interaction	Clostridium-hiranonis	Clostridium-ramosum	9.7251e-06	0.053371	4.4376e-05
interaction	Clostridium-hiranonis	Bacteroides-ovatus	9.9039e-05	0.58853	0.00013498
interaction	Clostridium-hiranonis	Akkermansia-muciniphila	1.5064e-05	0.040655	7.8894e-05
interaction	Clostridium-hiranonis	Parabacteroides-distasonis	2.0802e-05	0.022448	0.00016154
interaction	Clostridium-hiranonis	Bacteroides-fragilis	1.5642e-08	0.00026674	1.9301e-06
interaction	Clostridium-hiranonis	Bacteroides-vulgatus	-0.00044766	224990	5.9325e-05
interaction	Clostridium-hiranonis	Klebsiella-oxytoca	0.00014187	22499	2.1779e-05
interaction	Clostridium-hiranonis	Roseburia-hominis	0.0011277	33.4037	0.00037763
interaction	Clostridium-hiranonis	Escherichia-coli	9.9345e-08	0.001246	3.5873e-06
interaction	Clostridium-difficile	Clostridium-hiranonis	-0.00017304	0.049734	0.0010005
interaction	Clostridium-difficile	Clostridium-difficile	-0.00028677	224990	8.5353e-05
interaction	Clostridium-difficile	Proteus-mirabilis	1.8808e-09	0.00013335	2.8167e-07
